"soil_symbo","soil_name","soil_descr","slope_min_","slope_max_","depth_wate","depth_wate 2","depth_bedr","depth_bedr 2","soil_drain","erodibilit","prime_ag_s","slope_grea","bedrock_ou","hydric_soi","tfactor","kfactor","lcc","alcs"
"Ab","Alluvial land","A miscellaneous land type that consists of narrow strips of first bottom or small terrace remnants.",0,0,0,0,"","","Nearly well drained to very poorly drained","NHEL (Non-Highly Erodible Land)","","Variable","","This soil is considered hydric.",5,0.17,"5W",9
"ArB","Arkport fine sandy loam, 2 to 6 percent slopes","Deep, well drained, sandy soil, strongly or medium acid in the upper layers but neutral to mildly calcareous at 3 to 4 feet. Characteristically narrow bands of brown clayey material are present in subsoil and substratum. Principal use limitation is sus",2,6,3,3,"","","Well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.28,"2E",3
"ArC","Arkport fine sandy loam, 6 to 12 percent slopes","Deep well drained sandy soil with clay bands present in the lower subsoil. Medium to strongly acid on the surface and upper subsoil but neutral to slightly calcareous in the substratum. Most slopes are rolling. Main use limitation is susceptibility to",6,12,3,3,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.28,"3E",4
"BaB","Bath channery silt loam, 2 to 5 percent slopes","Deep, well drained strongly acid soils with well defined fragipan at 18 to 24 inches below the surface that impedes the movement of both roots and water. Soil is developed in glacial till derived mainly from local shale and sandstone rocks. Numerous sm",2,5,2,2,"","","Well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.24,"2E",3
"BaC","Bath channery silt loam, 5 to 15 percent slopes","Deep, well drained, strongly acid soil, with distinctly developed fragipan at 18 to 24 inches that restricts downward movement of both water and roots. Soil is developed in compact glacial till derived from local shale and sandstone rocks. Many fragmen",5,15,2,2,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",5
"BaC3","Bath channery silt loam, 5 to 15 percent slopes, eroded","This soil is developed on moderately deep compact glacial till derived from local shale and sandstone rocks. It is deep, well drained and strongly acid. It has distinct fragipan in the subsoil. These sloping areas are eroded enough to cause it to be m",5,15,2,2,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",6
"BaD","Bath channery silt loam, 15 to 25 percent slopes","This soil is deep, well drained and medium textured. A dense layer called a fragipan occurs at 26 to 40 inches. It occupies moderately steep areas of glacial till in the uplands. It is very strongly acid to medium acid. Permeability is moderate above",15,25,2,2,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"4E",6
"BgC","Bath and Valois gravelly silt loam, 5 to 15 percent slopes","This unit consists of deep, well drained strongly acid areas that may be composed of either soil listed or parts of both. The soils are on rolling small knolls characteristic of morainic areas. Bath soils have fragipans in the subsoil which restricts p",5,15,2,2,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",5
"BgC3","Bath and Valois gravelly silt loam, 5 to 15 percent slopes, eroded","This unit of undifferentiated Bath and Valois soils on moderate slopes may be made up of one or both of the listed soils that have been moderately to seriously eroded as a result of improper land use. Usually found on rolling, to irregular topography wh",5,15,2,2,"","","Well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.24,"3E",6
"BgD","Bath and Valois gravelly silt loam, 15 to 25 percent slopes","Deep strongly acid, well drained areas made up of either Bath or Valois soils or some of each. Slopes are moderately steep, strongly rolling areas on which it is difficult to use farm machinery and which are commonly seriously eroded. Use is greatly re",15,25,2,2,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"4E",6
"BoE","Bath and Valois soils, 25 to 35 percent slopes","This soil is deep, well drained and medium textured. A dense layer called a fragipan layer occurs at 26 to 40 inches. It occupies steep areas of glacial till on the valley walls in the uplands. It is very strongly acid to medium acid. Permeability is",25,35,2,2,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"6E",8
"BtF","Bath, Valois, and Lansing soils, 35 to 60 percent slopes","This is an undifferentiated unit of soils developed in deep glacial till found on valley walls, stream scars and strongly dissected land forms. Steep slopes precludes use except for forestry, recreation and as wild life habitat.",35,60,1.7,2,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,3,"7E",9
"BvA","Braceville gravelly silt loam, 0 to 5 percent slopes","This soil is deep, moderately well drained and medium textured. It occupies nearly level and slightly depressed areas on gravelly outwash stream terraces and the lower ends of alluvial fans. Unlimed it is medium to strongly acid. Permeability is rapid",0,5,0.5,1.7,"","","Moderately well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.2,"2W",4
"Ca","Canadaigua and Lamson soils","Any area on the map may consist of silty Canandaigua or sandy Lamson soils. Both are deep, poorly drained, neutral to slightly alkaline in the surface and have free lime in the subsoil and lower subsoil. Use is strongly limited by the poor drainage and",0,0,0,0.5,"","","Poorly drained and very poorly drained","NHEL (Non-Highly Erodible Land)","","","","This soil is considered hydric.",5,0.49,"3W",7
"CdA","Chenango gravelly loam, 0 to 5 percent slopes","This soil is deep, well to somewhat excessively drained and gravelly. It occupies nearly level glacial outwash plains and stream terraces. Unlimed it is medium to strongly acid. Permeability is moderate to rapid in the subsoil and very rapid in the su",0,5,3,3,"","","Well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.24,"2S",2
"CdC","Chenango gravelly loam, 5 to 15 percent slopes","This soil is deep, well to somewhat excessively drained and gravelly. It occupies gently sloping glacial outwash terraces and stream terraces. Unlimed it is medium to strongly acid. Permeability is moderate to rapid in the subsoil and very rapid in th",5,15,3,3,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",5
"CdD","Chenango gravelly loam, 15 to 25 percent slopes","This Chenango unit represents deep, well to excessively drained, to strongly acid, gravelly soil material. It is found on steep terrace fronts, kame terrace slopes and includes strong rolling to hummocky areas of morainic topography. These latter areas",15,25,3,3,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"4E",6
"CfA","Conesus gravelly silt loam, 0 to 3 percent slopes","This soil is deep, moderately well drained and medium textured. It occupies nearly level areas of glacial till in the uplands. Unlimed the solum is medium acid to neutral. Permeability is moderate in the solum and slow in the dense substratum. The av",0,3,0.5,2.5,"","","Moderately well drained","NHEL (Non-Highly Erodible Land)","","No","","No",3,0.28,"2W",2
"CfB","Conesus gravelly silt loam, 3 to 8 percent slopes","This soil is deep, moderately well drained, medium textured in the surface and moderately fine textured in the subsoil. It occupies gently sloping areas of glacial till in the uplands. The unlimed solum is medium acid to neutral. Permeability is moder",3,8,0.5,2.5,"","","Moderately well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.28,"2E",3
"CfB3","Conesus gravelly silt loam, 3 to 8 percent slopes, eroded","This unit represents areas that have lost 4 to 6 inches of soil. The present surface is composed of reworked subsoil material mixed with some original topsoil. It is found on slightly convex slopes that have an average gradient near the upper range of",3,8,0.5,2.5,"","","Moderately well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.28,"2E",3
"CnB","Chenango gravelly silt loam, fan, 0 to 8 percent slopes","This soil is deep, well to somewhat excessively drained and is medium textured in the surface and coarse textured in the substratum. It occupies nearly level to gently sloping alluvial fans. These fans occur where streams from higher elevation join str",0,8,3,3,"","","Well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.24,"2S",2
"DgB","Darien gravelly silt loam, 2 to 8 percent slopes","This soil is deep, somewhat poorly drained and medium textured in the surface and upper subsoil and moderately fine textured below. It occupies gently sloping areas of glacial till in the uplands. Unlimed it is slightly acid to neutral. Permeability i",2,8,0.5,1.25,"","","Moderately well drained to somewhat poorly drained","PHEL (Potentially Highly Erodible Land)","","No","","This soil has potential hydric inclusions.",3,0.24,"3W",5
"EbB","Erie channery silt loam, 3 to 8 percent slopes","Deep gently sloping somewhat poorly drained silty soils with a strongly expressed fragipan at 10 to 12 inches. A low lime soil with strongly acid upper layers and neutral to mildly alkaline lower subsoil. Developed in the compact glacial till in the up",3,8,0.3,1.25,"","","Somewhat poorly drained","PHEL (Potentially Highly Erodible Land)","No","No","","This soil has potential hydric inclusions.",3,0.24,"3W",6
"EbB3","Erie channery silt loam, 3 to 8 percent slopes, eroded","This unit represents gently sloping, deep, somewhat poorly drained, medium textured soils with a strongly expressed fragipan horizon. These areas have lost a significant amount of topsoil through erosion. This brings the fragipan horizon closer to the",3,8,0.3,1.25,"","","Somewhat poorly drained","PHEL (Potentially Highly Erodible Land)","","No","","Potential Hydric Inclusions",3,0.24,"4E",7
"EbC","Erie channery silt loam, 8 to 15 percent slopes","Somewhat poorly drained and medium textured soil which has a fragipan at 10 to 24 inches. It occupies sloping areas of glacial till in the uplands. The unlimed solum is medium acid to neutral. Permeability is moderate in the upper part and slow or ver",8,15,0.3,1.25,"","","Somewhat poorly drained","HEL (Highly Erodible Land)","","No","","Potential Hydric Inclusions",3,0.24,"3E",7
"EbC3","Erie channery silt loam, 8 to 15 percent slopes, eroded","This sloping soil includes the driest part of the series but it is classed as a somewhat poorly drained, medium textured, low lime soil. It has strongly expressed fragipan starting at 8 inches below surface. Developed in deep compact glacial till deriv",8,15,0.3,1.25,"","","Somewhat poorly drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"4E",8
"EcA","Ellery, Chippewa, and Alden soils, 0 to 8 percent slopes","This is an undifferentiated unit of 3 poorly drained soils. Each area may be one of the 3 listed or parts of all of them. Ellery and Chippewa are poorly drained, Alden is very poorly drained. Ellery and Alden are associated with Erie and are distingui",0,8,0,0.8,"","","Poorly drained to very poorly drained","PHEL (Potentially Highly Erodible Land)","","No","","Hydric",3,0.32,"4W",7
"Em","Eel silt loam","This unit represents a nearly level, moderately well drained alluvial soil developed in a first bottom position where it is subject to periodic flooding. It has medium to light texture, is slightly acid to neutral in the surface layers, neutral to alkal",0,0,0.5,1.5,"","","Moderately well drained","NHEL (Non-Highly Erodible Land)","","No","","Potential Hydric Inclusions",5,0.49,"2W",2
"ErA","Erie - Ellery channery silt loams, 0 to 3 percent slopes","This is a nearly level undifferentiated unit consisting of 60 to 70 percent somewhat poorly drained Erie soils, and 30 to 40 percent of poorly drained Ellery soils. Ellery soils, with their poor drainage, control the use of the unit since the areas cann",0,3,0,0.8,"","","Poorly drained","NHEL (Non-Highly Erodible Land)","","No","","Hydric",3,0.24,"4W",6
"FdB","Fredon silt loam, 0 to 5 percent slope","This unit includes deep, nearly level, somewhat poorly drained soils developed in medium textured materials consisting of weakly to strongly calcareous, layered deposits of gravel, sand, and silt that occupy low terrace positions. This soil can be used",0,5,0.3,1.25,"","","Somewhat poorly drained","PHEL (Potentially Highly Erodible Land)","","No","","Hydric",3,0.28,"3W",6
"Fm","Fresh water marsh","This miscellaneous land type includes fringes and areas around ponds and lakes that are under shallow water almost continuously. They support a cover of cattails, rushes, and swamp grass. They are non-agricultural but may be included in permanent pastu",0,0,0,0,"","","Variable","","","Variable","","Hydric",0,0,"",0
"Gn","Genesee silt loam","This is a deep, nearly level, well drained, medium textured, neutral to alkaline soil developed in recent alluvium on the first bottoms of some of the larger streams where it is subject to periodic flooding. Also included are a few gently sloping gravel",0,0,2.5,2.5,"","","Well drained","NHEL (Non-Highly Erodible Land)","","No","","No",5,0.49,"1",1
"Ha","Halsey silt loam","Deep, poorly drained. level, medium textured soil, developed in weakly sorted glacial outwash consisting of silty layers of sand and gravel. It is slightly acid or neutral in the surface layers and mildly calcareous in the subsoil. Halsey soils occupy",0,0,0,0.5,"","","Poorly drained and very poorly drained","NHEL (Non-Highly Erodible Land)","","No","","Hydric",5,0.24,"3W",8
"Hc","Halsey mucky silt loam","A very poorly drained, deep soil, developed in weakly stratified silty sand and gravel. It is neutral in the surface and calcareous in the subsoils. It is associated with Hasley and Phelps soils on low terrace positions and has very flat or depressed t",0,0,0,0.5,"","","Poorly drained and very poorly drained","NHEL (Non-Highly Erodible Land)","","No","","Hydric",5,0.24,"3W",8
"HdA","Howard gravelly loam, 0 to 5 percent slopes","Deep, nearly level, well drained, medium to light textured soil developed in moderately calcareous glacial outwash deposits of sand and gravel. The gravel and sand are derived mainly from shale and sandstone with some limestone. Surface and subsurface",0,5,3,3,"","","Well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.24,"2S",2
"HdC","Howard gravelly loam, 5 to 15 percent simple slopes","This sloping soil occupies terrace faces, eskers, and small hilly areas where slopes are not complex. It is a deep, well drained, medium to light textured, acid soil developed in poorly stratified sand and gravel deposits. Gravel is derived mainly from",5,15,3,3,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",5
"HdCK","Howard gravelly loam, 5 to 15 percent complex slopes","A deep, well drained, very gravelly soil developed on rolling topography with irregular complex slopes. The stratified sand and gravel underlying this unit was deposited as kame terraces, moraines, or as the steep faces of terrace fronts. Moderately pr",5,15,3,3,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",5
"HdD","Howard gravelly loam, 15 to 25 percent slopes","Deep, well drained, very gravelly soils on slopes steep enough to make tillage hazardous and difficult. Slopes are both simple and complex, and where they have been cropped some surface soil has been lost by erosion. Severely limited in use by steepnes",15,25,3,3,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"4E",6
"Hk","Wayland and Papakating soils","An undifferentiated unit of poorly drained Holly and very poorly drained Papakating. The map areas may be all Wayland, all Papakating, or a mixture of both. They are deep acid soils developed in recent alluvium along streams and drainage ways where per",0,0,0,0.5,"","","Poorly drained","NHEL (Non-Highly Erodible Land)","","No","","Hydric",5,0.43,"3W",8
"HmB","Honeoye gravelly silt loam, 2 to 8 percent slopes","Deep, well drained, medium textured soil developed in strongly calcareous glacial till in which limestone is an important constituent along with local shale and sandstone rocks. This unit, developed on gently rolling or sloping topography is a highly pr",2,8,1.7,1.7,"","","Well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.24,"2E",2
"HmC","Honeoye gravelly silt loam, 8 to 15 percent slopes","Well drained, deep, medium textured soil developed in strongly calcareous glacial till derived from limestone, shale, and sandstone. Requires very little lime for good growth of alfalfa and other legumes and shows a high response to fertilization and ma",8,15,1.7,1.7,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",5
"HmC3","Honeoye gravelly silt loam, 8 to 15 percent slopes, eroded","This is deep, sloping, well drained, high lime soil that has lost an appreciable amount of topsoil through erosion. The 4 to 6 inch loss of surface material is not as significant as the same loss in soils with a strong fragipan but has reduced productiv",8,15,1.7,1.7,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"4E",5
"HpE","Howard and Palmyra soils, 25 to 35 percent slopes","Deep, well drained, very gravelly soils on slopes so steep that it is not feasible to use them as crop land because of the difficulty in using machinery. This is an undifferentiated unit. The areas may consist of either one series or another, but never",25,35,3,3,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"6E",8
"HpF","Howard and Palmyra soils, 35 to 60 percent slopes","This unit consists of very steep areas of Howard and Palmyra soils. The very steep slopes so dominate the use capabilities of this type of land that it has been indicated on the map as an undifferentiated unit. The soils are deep and excessively draine",35,60,3,3,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"7E",9
"HrC","Howard-Valois gravelly loams, 5 to 15 percent slopes","This unit represents a complex of Howard soils which have developed in calcareous gravels and Valois soils which have formed in low lime glacial till. The areas occupy sloping positions on the sides of valleys or on the uplands on morainic deposits whic",5,15,2,3,"","","Well drained","HEL (Highly Erodible Land)","","No","","No",3,0.24,"3E",5
"HrD","Howard-Valois gravelly loams, 15 to 25 percent slopes","This map unit consists of a mixture or complex of Howard soils developed in stratified calcareous sands and gravel and Valois soils formed in low lime glacial till. It is found on steep valley sides, on kame terraces, and in areas of morainic materials",15,25,2,3,"","","Well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.24,"4E",6
"HsB","Hudson silty clay loam, 2 to 6 percent slopes","This is a deep, well drained to moderately well drained, fine textured soil developed in calcareous silty and clay lake laid material. It is found on nearly level to gently undulating topography, and has generally lost some topsoil where it has been und",2,6,0.8,2,"","","Well drained to moderately well drained","PHEL (Potentially Highly Erodible Land)","","No","","No",3,0.49,"2E",3
"HsC3","Hudson silty clay loam, 6 to 12 percent slopes, eroded","This is a well or moderately well drained soil, developed in silty and clayey materials on moderate slopes, that are moderately to seriously eroded. The lake laid silt and clay parent material may be slightly acid in the surface but is calcareous at 24",6,12,0.8,2,"","","Well drained to moderately well drained","HEL (Highly Erodible Land)","","No","","No",3,0.49,"4E",5
"HsD3","Hudson silty clay loam, 12 to 20 percent slopes, eroded","A deep, mostly well drained, heavy textured soil developed in lake laid silts and clay on moderately steep slopes. Most areas that have been cultivated for any length of time have lost most of the original topsoil, and plowing turns up the clayey subsoi",12,20,0.8,2,"","","Well drained to moderately well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.49,"6E",7
"HuB","Hudson-Cayuga silt loams, 2 to 6 percent slopes","This gently sloping unit is composed of a complex of Hudson and Cayuga soils. The former is developed in deep, well to moderately well drained, lake laid calcareous silts and clays. Cayuga soils include areas where the surface layers of lake laid silts",2,6,0.8,2.5,"","","Well drained to moderately well drained","HEL (Highly Erodible Land)","","No","","No",3,0.49,"2E",4
"HuB3","Hudson-Cayuga silt loams, 2 to 6 percent slopes, eroded","This gently sloping unit consists of mixed Hudson and Cayuga soils that are moderately well or well drained, deep, heavy textured, and have free lime in the subsoils. They can be used for crops, pasture, or forests. Their capabilities for some uses hav",2,6,0.8,2.5,"","","Well drained to moderately well drained","HEL (Highly Erodible Land)","","No","","No",3,0.49,"3E",4
"HuC3","Hudson-Cayuga silt loams, 6 to 12 percent slopes, eroded","This sloping unit consists of mixed Hudson and Cayuga soils that are moderately well or well drained, deep, heavy textured, and have free lime in the subsoils. They need intensive conservation practices to prevent further serious soil loss through uncon",6,12,0.8,2.5,"","","Well drained to moderately well drained","HEL (Highly Erodible Land)","","No","","No",3,0.49,"4E",5
"HuD","Hudson-Cayuga silt loams, 12 to 20 percent slopes","This map unit is a mixture or complex of Hudson and Cayuga soils on moderately steep slopes. The soils are mainly well drained. Hudson is developed in deep, calcareous, lake laid silts and clay and Cayuga is a thin mantle of silt and clay over high lim",12,20,0.8,2.5,"","","Well drained to moderately well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.49,"4E",7
"HwB","Hudson and Collamer silt loams, 2 to 6 percent slopes","This is an undifferentiated unit of Hudson and Collamer soils. Hudson is a well or moderately well drained soil developed in calcareous lake laid silts and clay. Collamer is a moderately well drained soil developed in lake laid silts and very fine sand",2,6,0.5,2.5,"","","Well drained to moderately well drained","HEL (Highly Erodible Land)","","No","","No",3,0.49,"2E",4
"HzE","Hudson and Dunkirk soils, 20 to 45 percent slopes","This is an undifferentiated unit of soils developed in lake laid sediments on steeply sloping and strongly rolling topography. Any of the areas shown on the map may consist of either Hudson or Dunkirk soils, or it may be a mixture of both. Hudson is de",20,45,0.8,2,"","","Well drained to moderately well drained","HEL (Highly Erodible Land)","","Yes","","No",3,0.49,"7E",9
"IcA","Ilion silty clay loam, 0 to 2 percent slopes","This is a deep, poorly drained, heavy textured, neutral to mildly alkaline soil developed in glacial till derived from local rocks mainly on flat to depressed topography that receives seepage and runoff from adjacent higher lying areas. Undrained, the s",0,2,0,0.7,"","","Poorly drained","NHEL (Non-Highly Erodible Land)","","No","","Hydric",3,0.37,"7E",7
"IcB","Ilion silty clay loam, 2 to 6 percent slopes","This is a poorly drained, gently sloping, deep, heavy textured soil, developed in glacial till derived mainly from alkaline shale. Without supplemental drainage, the soil is suited principally to pasture or woodland. With drainage it can be used for ro",2,6,0,0.7,"","","Poorly drained","PHEL (Potentially Highly Erodible Land)","","No","","Hydric",3,0.37,"4W",7
